nombre,nacionalidad,edad,escuderia,grandes_premios
Lewis Hamilton,Británica,36,Mercedes,270
Max Verstappen,Neerlandesa,24,Red Bull,123
Fernando Alonso,Española,40,Alpine,330
Charles Leclerc,Monegasca,24,Ferrari,81
Sebastian Vettel,Alemana,34,Aston Martin,271
Daniel Ricciardo,Australiana,32,McLaren,200
Valtteri Bottas,Finlandesa,32,Alfa Romeo,169
Sergio Perez,Mexicana,31,Red Bull,205
Lando Norris,Británica,22,McLaren,76
Carlos Sainz,Española,27,Ferrari,146
Esteban Ocon,Francesa,25,Alpine,90
Pierre Gasly,Francesa,26,AlphaTauri,102
Kimi Raikkonen,Finlandesa,42,Alfa Romeo,349
Mick Schumacher,Alemana,22,Haas,42
Nikita Mazepin,Rusa,22,Haas,21
George Russell,Británica,23,Williams,59
Nicholas Latifi,Canadiense,26,Williams,41
Yuki Tsunoda,Japonesa,21,AlphaTauri,23
Robert Kubica,Polaca,36,Alfa Romeo,98
Kevin Magnussen,Danesa,29,Haas,129
Michael Schumacher,Alemana,52,Ferrari,307
Ayrton Senna,Brasileña,34,Williams,162
Alain Prost,Francesa,66,Williams,202
Lewis Hamilton,Británica,36,Mercedes,288
Sebastian Vettel,Alemana,34,Aston Martin,287
Fernando Alonso,Española,40,Alpine,349
Max Verstappen,Neerlandesa,24,Red Bull,141
Charles Leclerc,Monegasca,24,Ferrari,81
Kimi Raikkonen,Finlandesa,42,Alfa Romeo,349
Niki Lauda,Austriaca,70,McLaren,177
Nelson Piquet,Brasileña,69,Brabham,207
Nigel Mansell,Británica,68,Williams,191